,Price,Area,rooms,type,Date,City,District,price_per_m2
747,125000.0,86.0,4,new,"June 25, 2023",Tashkent,Mirabad district,1453.49
748,95000.0,68.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,1397.06
749,330000.0,164.0,4,new,"June 25, 2023",Tashkent,Mirabad district,2012.2
750,91000.0,95.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,957.89
751,150000.0,100.0,4,new,"June 25, 2023",Tashkent,Almazar district,1500.0
752,88000.0,100.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,880.0
753,116000.0,93.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1247.31
754,88000.0,85.0,4,new,"June 25, 2023",Tashkent,Almazar district,1035.29
755,68000.0,92.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,739.13
756,115000.0,140.0,4,new,"June 25, 2023",Tashkent,Uchtepinsky district,821.43
757,83000.0,97.0,4,new,"June 25, 2023",Tashkent,Sergeli district,855.67
758,148000.0,100.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1480.0
759,115000.0,95.0,4,new,"June 25, 2023",Tashkent,Yashnabad district,1210.53
760,185000.0,95.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1947.37
761,110000.0,110.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1000.0
762,175000.0,120.0,4,new,"June 25, 2023",Tashkent,Mirzo-Ulugbek district,1458.33
763,74000.0,80.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,925.0
764,79000.0,85.0,4,new,"June 25, 2023",Tashkent,Almazar district,929.41
765,85000.0,94.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,904.26
766,84000.0,80.0,4,new,"June 25, 2023",Tashkent,Uchtepinsky district,1050.0
767,86000.0,90.0,4,new,"June 25, 2023",Tashkent,Chilanzar district,955.56
768,82500.0,90.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,916.67
769,110150.0,105.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,1049.05
770,89000.0,96.0,4,new,"June 25, 2023",Tashkent,Shaikhantahur district,927.08
771,85000.0,75.0,4,new,"June 25, 2023",Tashkent,Yunusabad district,1133.33
